Category ID,Category Name,Category Icon,Category Tagline,Category Description,Tier Name,Tier Price,Tier Period,Setup Fee,Tier Description,Popular (TRUE/FALSE),CTA Text,CTA Link,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
review-automation,Review Automation,â­,Grow your online reputation on autopilot,Automated systems that capture more 5-star reviews without the awkward ask.,Starter,99,month,0,Perfect for single-location businesses,FALSE,Get Started,#,Automated Google Review Requests,SMS & Email Follow-ups,Custom Review Landing Page,Basic Analytics Dashboard,A2P Verified Messaging,
review-automation,Review Automation,â­,Grow your online reputation on autopilot,Automated systems that capture more 5-star reviews without the awkward ask.,Growth,199,month,0,For businesses ready to scale,TRUE,Get Started,#,Everything in Starter,Multi-location Support,Advanced Review Analytics,Negative Review Alerts,Response Templates,Priority Support
review-automation,Review Automation,â­,Grow your online reputation on autopilot,Automated systems that capture more 5-star reviews without the awkward ask.,Enterprise,,custom,,Custom solutions for large organizations,FALSE,Contact Us,#,Everything in Growth,Unlimited Locations,Dedicated Account Manager,Custom API Integrations,White-label Options,Volume Pricing
web-design,Website Design,ðŸŒ,Stunning websites that convert visitors into customers,"Modern, mobile-first websites designed to showcase your business and drive action.",Basic Site,1500,one-time,,Clean professional 5-page website,FALSE,Learn More,#,5 Custom Pages,Mobile Responsive Design,Contact Form Integration,Basic SEO Setup,1 Month of Support,
web-design,Website Design,ðŸŒ,Stunning websites that convert visitors into customers,"Modern, mobile-first websites designed to showcase your business and drive action.",Business Pro,3500,one-time,,Full-featured business website,TRUE,Learn More,#,Up to 15 Pages,Advanced Animations,Blog/News Section,Lead Capture Forms,Advanced SEO,3 Months Support
web-design,Website Design,ðŸŒ,Stunning websites that convert visitors into customers,"Modern, mobile-first websites designed to showcase your business and drive action.",E-Commerce,6000,one-time,,Full online store setup,FALSE,Learn More,#,Unlimited Products,Shopping Cart & Checkout,Payment Processing,Inventory Management,Customer Accounts,6 Months Support
lead-generation,Lead Generation,ðŸ“ˆ,Fill your pipeline with qualified prospects,Targeted campaigns that bring high-quality leads directly to your business.,Starter Campaign,500,month,250,Get your first leads flowing,FALSE,Start Generating,#,5000 Outreach Emails/Month,Basic Lead Targeting,Weekly Reports,Email Templates,CRM Integration,
lead-generation,Lead Generation,ðŸ“ˆ,Fill your pipeline with qualified prospects,Targeted campaigns that bring high-quality leads directly to your business.,Growth Engine,1200,month,500,Scale your lead generation,TRUE,Start Generating,#,"15,000 Outreach Emails/Month",Advanced Targeting & Personalization,Multi-channel Campaigns,A/B Testing,Real-time Dashboard,Dedicated Strategist
lead-generation,Lead Generation,ðŸ“ˆ,Fill your pipeline with qualified prospects,Targeted campaigns that bring high-quality leads directly to your business.,Full Funnel,2500,month,1000,Complete lead-to-close system,FALSE,Start Generating,#,"30,000+ Outreach",Complete Sales Funnel Build,Landing Page Creation,Retargeting Ads,Appointment Booking,Sales Enablement
social-media,Social Media Management,ðŸ“±,Build your brand presence across platforms,Strategic content creation and community management to grow your social following.,Essential,400,month,0,Maintain consistent presence,FALSE,Get Started,#,12 Posts/Month,2 Platforms,Content Calendar,Basic Graphics,Monthly Report,
social-media,Social Media Management,ðŸ“±,Build your brand presence across platforms,Strategic content creation and community management to grow your social following.,Professional,800,month,0,Grow your engagement,TRUE,Get Started,#,20 Posts/Month,4 Platforms,Story Content,4x Custom Video Creation,Competitor Analysis,Bi-weekly Reports
social-media,Social Media Management,ðŸ“±,Build your brand presence across platforms,Strategic content creation and community management to grow your social following.,Premium,1500,month,0,Dominate your market,FALSE,Get Started,#,Daily Posting,All Major Platforms,8x Video Content Creation,Influencer Outreach,Paid Ad Management,Weekly Strategy Calls
seo,SEO Services,ðŸ”,"Rank higher, get found, grow organically",Search engine optimization that drives long-term sustainable traffic to your business.,Local SEO,600,month,300,Dominate local search results,FALSE,Boost Rankings,#,Google Business Optimization,Local Keyword Targeting,Citation Building,Monthly Reporting,On-page Optimization,
seo,SEO Services,ðŸ”,"Rank higher, get found, grow organically",Search engine optimization that drives long-term sustainable traffic to your business.,Growth SEO,1200,month,500,Comprehensive SEO strategy,TRUE,Boost Rankings,#,Everything in Local SEO,Content Strategy,Technical SEO Audit,Backlink Building,Competitor Analysis,
seo,SEO Services,ðŸ”,"Rank higher, get found, grow organically",Search engine optimization that drives long-term sustainable traffic to your business.,Enterprise SEO,2500,month,1000,Maximum organic growth,FALSE,Boost Rankings,#,Everything in Growth,Custom Content Creation,Authority Link Building,Multi-location SEO,Advanced Analytics,
ai-automation,AI Automation,ðŸ¤–,Supercharge your business with intelligent automation,Custom AI solutions that save time and boost efficiency across your operations.,Starter,299,month,199,Essential AI tools for small teams,FALSE,Get Started,#,AI Chatbot (1 Platform),Basic Workflow Automation,Email Response Assistant,Monthly Usage: 1000 AI Credits,Email Support,
ai-automation,AI Automation,ðŸ¤–,Supercharge your business with intelligent automation,Custom AI solutions that save time and boost efficiency across your operations.,Business,799,month,499,Full AI suite for growing businesses,TRUE,Get Started,#,AI Chatbot (Multi-platform),Advanced Workflow Automation,AI Content Generator,Lead Scoring & Qualification,Monthly Usage: 5000 AI Credits,Priority Support
ai-automation,AI Automation,ðŸ¤–,Supercharge your business with intelligent automation,Custom AI solutions that save time and boost efficiency across your operations.,Enterprise,,custom,,Custom AI solutions at scale,FALSE,Contact Us,#,Custom AI Model Training,Custom Automations,API Access & Integrations,Dedicated AI Strategist,,
